Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std
msal-extensions,https://pypi.org/project/msal-extensions/,https://github.com/AzureAD/microsoft-authentication-extensions-for-python/releases,pypi,0.1204644412191582,0.018867924528301886,0.9811320754716981,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.26086893937230404
tornado,https://pypi.org/project/tornado/,https://github.com/tornadoweb/tornado,pypi,0.013059950041631971,0.0016652789342214821,0.9991673605328892,0.0012489592006661116,0.0016652789342214821,0.0029142381348875937,0.09928875049014128
threadpoolctl,https://pypi.org/project/threadpoolctl/,https://github.com/joblib/threadpoolctl,pypi,0.20987654320987653,0.011111111111111112,0.9888888888888889,0.011111111111111112,0.011111111111111112,0.25555555555555554,0.3297521388840609
jedi,https://pypi.org/project/jedi/,https://github.com/davidhalter/jedi,pypi,0.011599289204797867,0.0002961646675551607,0.9998519176662224,0.00014808233377758035,0.0002961646675551607,0.0007404116688879016,0.099459402318135
marshmallow,https://pypi.org/project/marshmallow/,https://github.com/marshmallow-code/marshmallow,pypi,0.01598377281947262,0.002028397565922921,0.9993238674780257,0.001352265043948614,0.002028397565922921,0.0033806626098715348,0.10112467834076869
google-auth-httplib2,https://pypi.org/project/google-auth-httplib2/,https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2,pypi,0.10256410256410256,0.02564102564102564,0.9743589743589743,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.22229141799603755
traitlets,https://pypi.org/project/traitlets/,https://github.com/ipython/traitlets,pypi,0.04055914750957854,0.005747126436781609,0.9971264367816092,0.0028735632183908046,0.005747126436781609,0.017241379310344827,0.12359166519624389
cloudpickle,https://pypi.org/project/cloudpickle/,https://github.com/cloudpipe/cloudpickle,pypi,0.05555555555555555,0.008333333333333333,0.9916666666666667,0.008333333333333333,0.008333333333333333,0.025,0.1603349759932279
shellingham,https://pypi.org/project/shellingham/,https://github.com/sarugaku/shellingham,pypi,0.06736842105263159,0.010526315789473684,0.9894736842105263,0.010526315789473684,0.010526315789473684,0.031578947368421054,0.21452517948152136
redis,https://pypi.org/project/redis/,https://github.com/redis/redis-py,pypi,0.028632162661737518,0.005545286506469501,0.9963031423290203,0.005545286506469501,0.005545286506469501,0.009242144177449169,0.11365552721151545
backoff,https://pypi.org/project/backoff/,https://github.com/litl/backoff,pypi,0.04794859120118636,0.008403361344537815,0.9915966386554622,0.008403361344537815,0.008403361344537815,0.01680672268907563,0.1669205744925247
python-dotenv,https://pypi.org/project/python-dotenv/,https://github.com/theskumar/python-dotenv,pypi,0.03658536585365853,0.013513513513513514,0.9864864864864865,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.12194142026228515
scramp,https://pypi.org/project/scramp/,https://github.com/tlocke/scramp,pypi,0.2682926829268293,0.024390243902439025,0.975609756097561,0.024390243902439025,0.024390243902439025,1,0.422451416480214
nest-asyncio,https://pypi.org/project/nest-asyncio/,https://github.com/erdewit/nest_asyncio,pypi,0.09501557632398754,0.009345794392523364,0.9906542056074766,0.009345794392523364,0.009345794392523364,0.018691588785046728,0.27292368895146757
toml,https://pypi.org/project/toml/,https://github.com/uiri/toml,pypi,0.02962264150943397,0.005,0.995,0.005,0.005,0.01,0.1352072101481326
h11,https://pypi.org/project/h11/,https://github.com/python-hyper/h11,pypi,0.05095075572891272,0.006825938566552901,0.9965870307167235,0.0034129692832764505,0.006825938566552901,0.013651877133105802,0.18446037567474702
pytest-cov,https://pypi.org/project/pytest-cov/,https://github.com/pytest-dev/pytest-cov,pypi,0.024009757976503815,0.0023752969121140144,0.997624703087886,0.0023752969121140144,0.0023752969121140144,0.004750593824228029,0.1182073114697081
termcolor,https://pypi.org/project/termcolor/,https://github.com/termcolor/termcolor,pypi,0.16346153846153846,0.046153846153846156,0.9846153846153847,0.015384615384615385,0.046153846153846156,0.1076923076923077,0.3175290603110396
trove-classifiers,https://pypi.org/project/trove-classifiers/,https://github.com/pypa/trove-classifiers,pypi,0.05707070707070704,0.030303030303030304,0.9696969696969697,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.12470861865721664
ipython,https://pypi.org/project/ipython/,https://github.com/ipython/ipython,pypi,0.040773294908741604,0.004803073967339097,0.9975984630163305,0.003121998078770413,0.004803073967339097,0.012487992315081652,0.13631842152879675
pyzmq,https://pypi.org/project/pyzmq/,https://github.com/zeromq/pyzmq,pypi,0.012812664907651712,0.0010554089709762533,0.9994722955145119,0.0005277044854881266,0.0010554089709762533,0.002638522427440633,0.09953119565227757
networkx,https://pypi.org/project/networkx/,https://github.com/networkx/networkx,pypi,0.04984962406015038,0.00966702470461869,0.9967776584317938,0.004296455424274973,0.00966702470461869,0.01933404940923738,0.14815648399933617
xmltodict,https://pypi.org/project/xmltodict/,https://github.com/martinblech/xmltodict,pypi,0.036267232237539776,0.008695652173913044,0.991304347826087,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.15257063800562862
uvicorn,https://pypi.org/project/uvicorn/,https://github.com/encode/uvicorn,pypi,0.026618705035971222,0.004796163069544364,0.9976019184652278,0.002398081534772182,0.004796163069544364,0.007194244604316547,0.11525844473781857
pyspark,https://pypi.org/project/pyspark/,https://github.com/apache/spark/tree/master/python,pypi,0.18953229398663704,0.11061618411284335,0.955456570155902,0.060133630289532294,0.11061618411284335,0.24276169265033407,0.20121462851225688
pg8000,https://pypi.org/project/pg8000/,https://github.com/tlocke/pg8000,pypi,0.04855915766140205,0.0024937655860349127,0.9975062344139651,0.0024937655860349127,0.0024937655860349127,0.004987531172069825,0.17660454951847313
mccabe,https://pypi.org/project/mccabe/,https://github.com/pycqa/mccabe,pypi,0.14714285714285716,0.02857142857142857,0.9714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.27154508777342584
prometheus-client,https://pypi.org/project/prometheus-client/,https://github.com/prometheus/client_python,pypi,0.027046979865771804,0.006711409395973154,0.9932885906040269,0.006711409395973154,0.006711409395973154,0.013422818791946308,0.10228881496327737
redshift-connector,https://pypi.org/project/redshift-connector/,https://github.com/aws/amazon-redshift-python-driver,pypi,0.05439629035134653,0.003745318352059925,0.9962546816479401,0.003745318352059925,0.003745318352059925,0.00749063670411985,0.21156311364189007
oscrypto,https://pypi.org/project/oscrypto/,https://github.com/wbond/oscrypto,pypi,0.06824224519940916,0.0014771048744460858,0.9985228951255539,0.0014771048744460858,0.0014771048744460858,0.0014771048744460858,0.2490232353721714
webencodings,https://pypi.org/project/webencodings/,https://github.com/SimonSapin/python-webencodings,pypi,0.27564102564102566,0.11538461538461539,0.9615384615384616,0.038461538461538464,0.11538461538461539,0.38461538461538464,0.3450242728409715
pyodbc,https://pypi.org/project/pyodbc/,https://github.com/mkleehammer/pyodbc,pypi,0.049668525728717244,0.004524886877828055,0.995475113122172,0.004524886877828055,0.004524886877828055,0.00904977375565611,0.15889328774616965
pycryptodome,https://pypi.org/project/pycryptodome/,https://github.com/Legrandin/pycryptodome/,pypi,0.013668711656441719,0.0006134969325153375,0.9993865030674847,0.0006134969325153375,0.0006134969325153375,0.001226993865030675,0.10183772189302609
httpx,https://pypi.org/project/httpx/,https://github.com/encode/httpx,pypi,0.0191156462585034,0.0027210884353741495,0.998639455782313,0.0013605442176870747,0.0027210884353741495,0.004081632653061225,0.10460459520657424
httpcore,https://pypi.org/project/httpcore/,https://github.com/encode/httpcore,pypi,0.05357443229604711,0.0034482758620689655,0.996551724137931,0.0034482758620689655,0.0034482758620689655,0.020689655172413793,0.17231805173696846
Babel,https://pypi.org/project/Babel/,https://github.com/python-babel/babel,pypi,0.04207006369426751,0.0031847133757961785,0.9968152866242038,0.0031847133757961785,0.0031847133757961785,0.009554140127388535,0.13962946784835306
SecretStorage,https://pypi.org/project/SecretStorage/,https://github.com/mitya57/secretstorage,pypi,0.14675767918088736,0.0034129692832764505,0.9965870307167235,0.0034129692832764505,0.0034129692832764505,0.010238907849829351,0.3483426806712605
