Name,Package URL,Github,ecosystem,health_percentage,description,readme,code_of_conduct,contributing,license,pull_request_template,admin_accepts_content_report
aenum,https://pypi.org/project/aenum/,https://github.com/ethanfurman/aenum,pypi,28,true,true,false,false,false,false,false
text-unidecode,https://pypi.org/project/text-unidecode/,https://github.com/kmike/text-unidecode/,pypi,42,true,true,false,false,true,false,false
jsonpatch,https://pypi.org/project/jsonpatch/,https://github.com/stefankoegl/python-json-patch,pypi,42,true,true,false,false,true,false,false
typer,https://pypi.org/project/typer/,https://github.com/tiangolo/typer,pypi,71,true,true,false,true,true,false,false
python-slugify,https://pypi.org/project/python-slugify/,https://github.com/un33k/python-slugify,pypi,42,true,true,false,false,true,false,false
crashtest,https://pypi.org/project/crashtest/,https://github.com/sdispater/crashtest,pypi,42,true,true,false,false,true,false,false
XlsxWriter,https://pypi.org/project/XlsxWriter/,https://github.com/jmcnamara/XlsxWriter,pypi,71,true,true,false,true,true,true,false
orjson,https://pypi.org/project/orjson/,https://github.com/ijl/orjson,pypi,57,true,true,false,true,true,false,false
watchtower,https://pypi.org/project/watchtower/,https://github.com/kislyuk/watchtower,pypi,85,true,true,true,true,true,false,false
python-transip,https://pypi.org/project/python-transip/,https://github.com/roaldnefs/python-transip,pypi,71,true,true,true,false,true,false,false
pytzdata,https://pypi.org/project/pytzdata/,https://github.com/sdispater/pytzdata,pypi,42,true,true,false,false,true,false,false
futures,https://pypi.org/project/futures/,https://github.com/agronholm/pythonfutures,pypi,42,true,true,false,false,true,false,false
dataclasses,https://pypi.org/project/dataclasses/,https://github.com/ericvsmith/dataclasses,pypi,28,false,true,false,false,true,false,false
Send2Trash,https://pypi.org/project/Send2Trash/,https://github.com/arsenetar/send2trash,pypi,42,true,true,false,false,true,false,false
querystring-parser,https://pypi.org/project/querystring-parser/,https://github.com/bernii/querystring-parser,pypi,42,true,true,false,false,true,false,false
rfc3339-validator,https://pypi.org/project/rfc3339-validator/,https://github.com/naimetti/rfc3339-validator,pypi,57,true,true,false,true,true,false,false
opt-einsum,https://pypi.org/project/opt-einsum/,https://github.com/dgasmith/opt_einsum,pypi,71,true,true,false,true,true,true,false
configparser,https://pypi.org/project/configparser/,https://github.com/jaraco/configparser/,pypi,42,true,true,false,false,true,false,false
seaborn,https://pypi.org/project/seaborn/,https://github.com/mwaskom/seaborn,pypi,71,true,true,false,true,true,false,false
executing,https://pypi.org/project/executing/,https://github.com/alexmojaki/executing,pypi,42,true,true,false,false,true,false,false
nodeenv,https://pypi.org/project/nodeenv/,https://github.com/ekalinin/nodeenv,pypi,42,true,true,false,false,true,false,false
argon2-cffi,https://pypi.org/project/argon2-cffi/,https://github.com/hynek/argon2-cffi,pypi,85,true,true,true,true,true,false,false
aiofiles,https://pypi.org/project/aiofiles/,https://github.com/Tinche/aiofiles,pypi,57,true,true,false,false,true,false,false
dataclasses-json,https://pypi.org/project/dataclasses-json/,https://github.com/lidatong/dataclasses-json,pypi,42,true,true,false,false,true,false,false
gspread,https://pypi.org/project/gspread/,https://github.com/burnash/gspread,pypi,85,true,true,true,true,true,false,false
inflection,https://pypi.org/project/inflection/,https://github.com/jpvanhal/inflection,pypi,42,true,true,false,false,true,false,false
cfgv,https://pypi.org/project/cfgv/,https://github.com/asottile/cfgv,pypi,42,true,true,false,false,true,false,false
retrying,https://pypi.org/project/retrying/,https://github.com/groodt/retrying,pypi,42,true,true,false,false,true,false,false
zeep,https://pypi.org/project/zeep/,https://github.com/mvantellingen/python-zeep,pypi,57,true,true,false,false,true,false,false
argon2-cffi-bindings,https://pypi.org/project/argon2-cffi-bindings/,https://github.com/hynek/argon2-cffi-bindings,pypi,85,true,true,true,true,true,false,false
typeguard,https://pypi.org/project/typeguard/,https://github.com/agronholm/typeguard,pypi,57,true,true,false,true,true,false,false
loguru,https://pypi.org/project/loguru/,https://github.com/Delgan/loguru,pypi,71,true,true,false,true,true,false,false
astunparse,https://pypi.org/project/astunparse/,https://github.com/simonpercivall/astunparse,pypi,57,true,true,false,true,true,false,false
Authlib,https://pypi.org/project/Authlib/,https://github.com/lepture/authlib,pypi,85,true,true,true,false,true,true,false
kafka-python,https://pypi.org/project/kafka-python/,https://github.com/dpkp/kafka-python,pypi,42,true,true,false,false,true,false,false
structlog,https://pypi.org/project/structlog/,https://github.com/hynek/structlog,pypi,100,true,true,true,true,true,true,false
graphviz,https://pypi.org/project/graphviz/,https://github.com/xflr6/graphviz,pypi,42,true,true,false,false,true,false,false
ordered-set,https://pypi.org/project/ordered-set/,https://github.com/rspeer/ordered-set,pypi,42,true,true,false,false,true,false,false
deprecation,https://pypi.org/project/deprecation/,https://github.com/briancurtin/deprecation,pypi,42,true,true,false,false,true,false,false
semantic-version,https://pypi.org/project/semantic-version/,https://github.com/rbarrois/python-semanticversion,pypi,42,true,true,false,false,true,false,false
python-gnupg,https://pypi.org/project/python-gnupg/,https://github.com/vsajip/python-gnupg,pypi,57,true,true,false,false,true,false,false
randomstuff.py,https://pypi.org/project/randomstuff.py/,https://github.com/nerdguyahmad/randomstuff.py,pypi,42,true,true,false,false,true,false,false
colorlog,https://pypi.org/project/colorlog/,https://github.com/borntyping/python-colorlog,pypi,42,true,true,false,false,true,false,false
virtualenv-clone,https://pypi.org/project/virtualenv-clone/,https://github.com/edwardgeorge/virtualenv-clone,pypi,42,true,true,false,false,true,false,false
parsedatetime,https://pypi.org/project/parsedatetime/,https://github.com/bear/parsedatetime,pypi,42,true,true,false,false,true,false,false
astor,https://pypi.org/project/astor/,https://github.com/berkerpeksag/astor,pypi,42,true,true,false,false,true,false,false
argparse,https://pypi.org/project/argparse/,https://github.com/ThomasWaldmann/argparse/,pypi,42,true,true,false,false,true,false,false
Faker,https://pypi.org/project/Faker/,https://github.com/joke2k/faker,pypi,71,true,true,false,true,true,true,false
linkify-it-py,https://pypi.org/project/linkify-it-py/,https://github.com/tsutsu3/linkify-it-py,pypi,42,true,true,false,false,true,false,false
prometheus-flask-exporter,https://pypi.org/project/prometheus-flask-exporter/,https://github.com/rycus86/prometheus_flask_exporter,pypi,42,true,true,false,false,true,false,false
unicodecsv,https://pypi.org/project/unicodecsv/,https://github.com/jdunck/python-unicodecsv,pypi,42,true,true,false,false,true,false,false
libclang,https://pypi.org/project/libclang/,https://github.com/sighingnow/libclang,pypi,42,true,true,false,false,true,false,false
python-jose,https://pypi.org/project/python-jose/,https://github.com/mpdavis/python-jose/,pypi,42,true,true,false,false,true,false,false
uc-micro-py,https://pypi.org/project/uc-micro-py/,https://github.com/tsutsu3/uc.micro-py,pypi,42,true,true,false,false,true,false,false
pyathena,https://pypi.org/project/pyathena/,https://github.com/laughingman7743/PyAthena/,pypi,42,true,true,false,false,true,false,false
rfc3986-validator,https://pypi.org/project/rfc3986-validator/,https://github.com/naimetti/rfc3986-validator,pypi,57,true,true,false,true,true,false,false
python-multipart,https://pypi.org/project/python-multipart/,https://github.com/andrew-d/python-multipart,pypi,42,true,true,false,false,true,false,false
email-validator,https://pypi.org/project/email-validator/,https://github.com/JoshData/python-email-validator,pypi,57,true,true,false,true,true,false,false
Flask-AppBuilder,https://pypi.org/project/Flask-AppBuilder/,https://github.com/dpgaspar/flask-appbuilder/,pypi,71,true,true,false,true,true,true,false
imagesize,https://pypi.org/project/imagesize/,https://github.com/shibukawa/imagesize_py,pypi,28,false,true,false,false,true,false,false
