Name,Package URL,Github,Downloads
tensorboard,https://pypi.org/project/tensorboard/,https://github.com/tensorflow/tensorboard,20412037
toolz,https://pypi.org/project/toolz/,https://github.com/pytoolz/toolz/,20164190
pyflakes,https://pypi.org/project/pyflakes/,https://github.com/PyCQA/pyflakes,20155158
absl-py,https://pypi.org/project/absl-py/,https://github.com/abseil/abseil-py,19998023
sentry-sdk,https://pypi.org/project/sentry-sdk/,https://github.com/getsentry/sentry-python,19915912
xlrd,https://pypi.org/project/xlrd/,http://www.python-excel.org/,19760105
requests-aws4auth,https://pypi.org/project/requests-aws4auth/,https://github.com/tedder/requests-aws4auth,19726457
flake8,https://pypi.org/project/flake8/,https://github.com/pycqa/flake8,19651615
jsonpath-ng,https://pypi.org/project/jsonpath-ng/,https://github.com/h2non/jsonpath-ng,19624392
python-json-logger,https://pypi.org/project/python-json-logger/,http://github.com/madzak/python-json-logger,19505276
nbconvert,https://pypi.org/project/nbconvert/,https://jupyter.org,19493630
pickleshare,https://pypi.org/project/pickleshare/,https://github.com/pickleshare/pickleshare,19166707
build,https://pypi.org/project/build/,https://github.com/pypa/build,19042575
mdurl,https://pypi.org/project/mdurl/,https://github.com/executablebooks/mdurl,18959429
backcall,https://pypi.org/project/backcall/,https://github.com/takluyver/backcall,18866316
fastapi,https://pypi.org/project/fastapi/,https://github.com/tiangolo/fastapi,18785704
rapidfuzz,https://pypi.org/project/rapidfuzz/,https://github.com/maxbachmann/RapidFuzz,18510341
argcomplete,https://pypi.org/project/argcomplete/,https://github.com/kislyuk/argcomplete,18334731
python-utils,https://pypi.org/project/python-utils/,https://github.com/WoLpH/python-utils,17915030
transformers,https://pypi.org/project/transformers/,https://github.com/huggingface/transformers,17895802
matplotlib-inline,https://pypi.org/project/matplotlib-inline/,https://github.com/ipython/matplotlib-inline,17883761
setuptools-scm,https://pypi.org/project/setuptools-scm/,https://github.com/pypa/setuptools_scm/,17855573
nbformat,https://pypi.org/project/nbformat/,https://jupyter.org,17846994
ipykernel,https://pypi.org/project/ipykernel/,https://ipython.org,17769562
databricks-cli,https://pypi.org/project/databricks-cli/,https://github.com/databricks/databricks-cli,17766251
notebook,https://pypi.org/project/notebook/,https://github.com/jupyter/notebook,17720715
fastjsonschema,https://pypi.org/project/fastjsonschema/,https://github.com/horejsek/python-fastjsonschema,17690105
jupyter-server,https://pypi.org/project/jupyter-server/,https://github.com/jupyter-server/jupyter_server,17406025
mistune,https://pypi.org/project/mistune/,https://github.com/lepture/mistune,17258985
huggingface-hub,https://pypi.org/project/huggingface-hub/,https://github.com/huggingface/huggingface_hub,17153392
opensearch-py,https://pypi.org/project/opensearch-py/,https://github.com/opensearch-project/opensearch-py,17036046
kubernetes,https://pypi.org/project/kubernetes/,https://github.com/kubernetes-client/python,17016005
debugpy,https://pypi.org/project/debugpy/,https://github.com/microsoft/debugpy,16975395
starlette,https://pypi.org/project/starlette/,https://github.com/encode/starlette,16959763
arrow,https://pypi.org/project/arrow/,https://github.com/arrow-py/arrow,16882849
asttokens,https://pypi.org/project/asttokens/,https://github.com/gristlabs/asttokens,16877548
progressbar2,https://pypi.org/project/progressbar2/,https://github.com/WoLpH/python-progressbar,16780260
tensorflow,https://pypi.org/project/tensorflow/,https://www.tensorflow.org/,16779348
google-cloud-pubsub,https://pypi.org/project/google-cloud-pubsub/,https://github.com/googleapis/python-pubsub,16747324
websockets,https://pypi.org/project/websockets/,https://github.com/aaugustin/websockets,16652050
astroid,https://pypi.org/project/astroid/,https://github.com/pylint-dev/astroid,16542484
jsonpatch,https://pypi.org/project/jsonpatch/,https://github.com/stefankoegl/python-json-patch,16423696
asynctest,https://pypi.org/project/asynctest/,https://github.com/Martiusweb/asynctest/,16338021
aioitertools,https://pypi.org/project/aioitertools/,https://aioitertools.omnilib.dev,16296538
imageio,https://pypi.org/project/imageio/,https://github.com/imageio/imageio,16226257
simplejson,https://pypi.org/project/simplejson/,https://github.com/simplejson/simplejson,15952183
appdirs,https://pypi.org/project/appdirs/,http://github.com/ActiveState/appdirs,15937747
pyproject_hooks,https://pypi.org/project/pyproject_hooks/,https://github.com/pypa/pyproject-hooks,15809299
google-cloud-bigquery-storage,https://pypi.org/project/google-cloud-bigquery-storage/,https://github.com/googleapis/python-bigquery-storage,15800805
pylint,https://pypi.org/project/pylint/,https://github.com/pylint-dev/pylint,15772397
pbr,https://pypi.org/project/pbr/,https://opendev.org/openstack/pbr,15604159
lazy-object-proxy,https://pypi.org/project/lazy-object-proxy/,https://github.com/ionelmc/python-lazy-object-proxy,15559657
multiprocess,https://pypi.org/project/multiprocess/,https://github.com/uqfoundation/multiprocess,15346114
