Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std,totalContributors
io.kubernetes:client-java,https://github.com/kubernetes-client/java,https://github.com/kubernetes-client/java,maven,0.026798179059180572,0.0030349013657056147,0.9984825493171472,0.0015174506828528073,0.0030349013657056147,0.010622154779969651,0.11598728768631889,100
org.springframework.data:spring-data-couchbase,https://github.com/spring-projects/spring-data-couchbase,https://github.com/spring-projects/spring-data-couchbase,maven,0.0732554657082959,0.0031746031746031746,0.9968253968253968,0.0031746031746031746,0.0031746031746031746,0.01904761904761905,0.19077928272064631,53
com.github.vanroy:spring-boot-starter-data-jest,https://github.com/vanroy/spring-data-jest,https://github.com/vanroy/spring-data-jest,maven,0.07956989247311828,0.010752688172043012,0.989247311827957,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.2460400524377147,15
com.wdullaer:materialdatetimepicker,https://github.com/wdullaer/MaterialDateTimePicker,https://github.com/wdullaer/MaterialDateTimePicker,maven,0.03534727143869596,0.0030120481927710845,0.9969879518072289,0.0030120481927710845,0.0030120481927710845,0.006024096385542169,0.1680380386590188,34
org.conscrypt:conscrypt-openjdk-uber,https://conscrypt.org/,https://github.com/google/conscrypt,maven,0.029858525688756517,0.0014705882352941176,0.9985294117647059,0.0014705882352941176,0.0014705882352941176,0.0058823529411764705,0.12131799654126801,79
com.squareup.leakcanary:leakcanary-android-no-op,http://github.com/square/leakcanary/,https://github.com/square/leakcanary,maven,0.013666044776119404,0.0009328358208955224,0.9990671641791045,0.0009328358208955224,0.0009328358208955224,0.002798507462686567,0.0995593585046959,100
com.janeluo:ikanalyzer,https://github.com/yangyining/IKAnalyzer,https://github.com/yangyining/IKAnalyzer,maven,1,1,0,1,1,1,0,1
com.github.binarywang:weixin-java-mp,https://github.com/Wechat-Group/WxJava,https://github.com/Wechat-Group/WxJava,maven,0.014054807245703668,0.0018578727357176034,0.9990710636321412,0.0013934045517882026,0.0018578727357176034,0.0037157454714352067,0.09989106397227507,100
org.scala-lang.modules:scala-parser-combinators_2.11,http://www.scala-lang.org/,https://github.com/scala/scala-parser-combinators,maven,0.08548568220101067,0.014598540145985401,0.9927007299270073,0.0072992700729927005,0.014598540145985401,0.043795620437956206,0.1986510518302022,52
org.springframework.integration:spring-integration-java-dsl,https://github.com/spring-projects/spring-integration-java-dsl,https://github.com/spring-projects/spring-integration-java-dsl,maven,0.14043419267299864,0.014925373134328358,0.9925373134328358,0.007462686567164179,0.014925373134328358,0.15671641791044777,0.2844345215360408,11
org.joda:joda-money,https://www.joda.org/joda-money/,https://github.com/JodaOrg/joda-money,maven,0.05365853658536586,0.003048780487804878,0.9969512195121951,0.003048780487804878,0.003048780487804878,0.006097560975609756,0.21710956463892545,20
org.igniterealtime.smack:smack-tcp,http://www.igniterealtime.org/projects/smack/,https://github.com/igniterealtime/Smack,maven,0.016210045662100457,0.00076103500761035,0.9996194824961948,0.000380517503805175,0.00076103500761035,0.002663622526636225,0.11460237144812888,75
io.micronaut.test:micronaut-test-junit5,https://micronaut.io,https://github.com/micronaut-projects/micronaut-test,maven,0.09086247564352375,0.005025125628140704,0.9949748743718593,0.005025125628140704,0.005025125628140704,0.04020100502512563,0.2189997634830216,49
com.github.clans:fab,https://github.com/Clans/FloatingActionButton,https://github.com/Clans/FloatingActionButton,maven,0.17697594501718214,0.010309278350515464,0.9896907216494846,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.3680867966192483,6
org.scala-sbt.ivy:ivy,https://github.com/sbt/ivy,https://github.com/sbt/ivy,maven,0.07309555261999119,0.003963011889035667,0.9986789960369881,0.001321003963011889,0.003963011889035667,0.009247027741083224,0.24787266484201878,15
org.apache.maven.shared:maven-verifier,https://maven.apache.org/shared/,https://github.com/apache/maven-verifier,maven,0.19199999999999998,0.1,0.98,0.04,0.1,0.28,0.22666274506411505,30
net.thucydides:thucydides-core,www://github.com/wakaleo/thucydides,https://github.com/thucydides-webtests/thucydides,maven,0.04292906386066764,0.0011792452830188679,0.9994103773584906,0.0005896226415094339,0.0011792452830188679,0.003537735849056604,0.19160879803150402,26
org.eclipse.microprofile:microprofile,https://github.com/eclipse/microprofile,https://github.com/eclipse/microprofile,maven,0.0892672858617131,0.017543859649122806,0.9912280701754386,0.008771929824561403,0.017543859649122806,0.05263157894736842,0.19346817788626328,34
fr.ippon.spark.metrics:metrics-spark-reporter,https://github.com/ippontech/metrics-spark-reporter,https://github.com/ippontech/metrics-spark-reporter,maven,0,0,0,0,0,0,0,0
org.parceler:parceler-api,http://parceler.org,https://github.com/johncarl81/parceler,maven,0.04919786096256684,0.004705882352941176,0.9976470588235294,0.002352941176470588,0.004705882352941176,0.004705882352941176,0.20748850542182176,22
org.springframework.android:spring-android-rest-template,https://github.com/SpringSource/spring-android,https://github.com/SpringSource/spring-android,maven,0.12947368421052632,0.00631578947368421,0.9978947368421053,0.002105263157894737,0.00631578947368421,0.010526315789473684,0.32904124976106164,8
org.grails:grails-web-testing-support,https://github.com/grails/grails-testing-support,https://github.com/grails/grails-testing-support,maven,0.2292307692307692,0.06153846153846154,0.9923076923076923,0.015384615384615385,0.06153846153846154,0.3769230769230769,0.302301494031845,15
org.webjars.npm:bootstrap,https://www.webjars.org,https://github.com/twbs/bootstrap,maven,0.019800115519927188,0.0014261460101867571,0.9994567062818336,0.0008149405772495755,0.0014261460101867571,0.00400679117147708,0.10569104713571208,97
org.grails.plugins:hibernate5,https://gorm.grails.org/latest/hibernate,https://github.com/grails/gorm-hibernate5,maven,0.03392536016649492,0.000949667616334283,0.9990503323836657,0.000949667616334283,0.000949667616334283,0.002849002849002849,0.14613799414752968,47
com.github.kstyrc:embedded-redis,https://github.com/kstyrc/embedded-redis,https://github.com/kstyrc/embedded-redis,maven,0.16984126984126985,0.011111111111111112,0.9888888888888889,0.011111111111111112,0.011111111111111112,0.13333333333333333,0.3415244528244604,7
io.opentelemetry:opentelemetry-api,https://github.com/open-telemetry/opentelemetry-java,https://github.com/open-telemetry/opentelemetry-java,maven,0.05300643086816721,0.00482315112540193,0.9983922829581994,0.003215434083601286,0.00482315112540193,0.012861736334405145,0.16726925689148855,100
com.bertramlabs.plugins:asset-pipeline-grails,https://github.com/bertramdev/asset-pipeline-core,https://github.com/bertramdev/asset-pipeline-core,maven,0.028249723534734084,0.0024630541871921183,0.9975369458128078,0.0024630541871921183,0.0024630541871921183,0.0049261083743842365,0.1415757576038325,49
com.graphql-java:graphql-java-tools,http://github.com/graphql-java/graphql-java-tools,https://github.com/graphql-java/graphql-java-tools,maven,0.05327868852459016,0.00423728813559322,0.9957627118644068,0.00423728813559322,0.00423728813559322,0.012711864406779662,0.15712089921851832,61
org.osgi:org.osgi.service.component.annotations,https://docs.osgi.org/,https://github.com/osgi/osgi,maven,0.09146671826625387,0.006414473684210526,0.9998355263157894,0.0006578947368421052,0.006414473684210526,0.04013157894736842,0.23388115631447784,17
org.bytedeco:javacv,http://bytedeco.org/javacv/,https://github.com/bytedeco/javacv,maven,0.018891051986444585,0.0024154589371980675,0.9975845410628019,0.0024154589371980675,0.0024154589371980675,0.004830917874396135,0.12080966012979563,67
org.springframework.shell:spring-shell-starter,https://spring.io/projects/spring-shell,https://github.com/spring-projects/spring-shell,maven,0.03673058401190789,0.00205761316872428,0.9979423868312757,0.00205761316872428,0.00205761316872428,0.00411522633744856,0.15057082961042234,47
org.apache.maven.resolver:maven-resolver-connector-basic,https://maven.apache.org/resolver/,https://github.com/apache/maven-resolver,maven,0.05653840096592997,0.006772009029345372,0.9977426636568849,0.002257336343115124,0.006772009029345372,0.01805869074492099,0.17911756790278596,43
com.hazelcast:hazelcast-hibernate52,http://www.hazelcast.com/,https://github.com/hazelcast/hazelcast-hibernate5,maven,0.13154121863799284,0.03225806451612903,0.9935483870967742,0.0064516129032258064,0.03225806451612903,0.14193548387096774,0.24631532654705504,36
org.jboss.spec.javax.ws.rs:jboss-jaxrs-api_2.1_spec,http://www.jboss.org,https://github.com/jboss/jboss-jakarta-jaxrs-api_spec,maven,0.308300395256917,0.17391304347826086,0.9565217391304348,0.043478260869565216,0.17391304347826086,0.5217391304347826,0.3197430579629515,11
com.codeborne:phantomjsdriver,https://github.com/codeborne/ghostdriver,https://github.com/codeborne/ghostdriver,maven,0.030395136778115502,0.002304147465437788,0.9976958525345622,0.002304147465437788,0.002304147465437788,0.004608294930875576,0.14514194251919935,47
com.github.librepdf:openpdf,https://github.com/LibrePDF/OpenPDF,https://github.com/LibrePDF/OpenPDF,maven,0.030782122905027937,0.00558659217877095,0.9972067039106145,0.002793296089385475,0.00558659217877095,0.013966480446927373,0.11510412306296447,100
org.postgresql:r2dbc-postgresql,https://github.com/pgjdbc/r2dbc-postgresql,https://github.com/pgjdbc/r2dbc-postgresql,maven,0.028146413392315033,0.0026455026455026454,0.9973544973544973,0.0026455026455026454,0.0026455026455026454,0.007936507936507936,0.13161778967349586,61
org.neo4j:neo4j-ogm-core,https://neo4j.com/developer/neo4j-ogm,https://github.com/neo4j/neo4j-ogm,maven,0.08199774266365688,0.004514672686230248,0.9977426636568849,0.002257336343115124,0.004514672686230248,0.03160270880361174,0.1928836694934234,40
org.jibx:jibx-run,http://www.jibx.org,https://github.com/jibx/jibx-core,maven,0,0,0,0,0,0,0,0
com.jakewharton.retrofit:retrofit2-kotlinx-serialization-converter,https://github.com/JakeWharton/retrofit2-kotlinx-serialization-converter/,https://github.com/JakeWharton/retrofit2-kotlinx-serialization-converter,maven,0.22999999999999998,0.02,0.98,0.02,0.02,0.7,0.3657868231634376,8
com.cloudinary:cloudinary-http44,http://github.com/cloudinary/cloudinary_java,https://github.com/cloudinary/cloudinary_java,maven,0.13237753882915174,0.025806451612903226,0.9935483870967742,0.0064516129032258064,0.025806451612903226,0.12258064516129032,0.25917544852153396,27
org.greenrobot:greendao,https://github.com/greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,maven,0.19973958333333333,0.0015625,0.9984375,0.0015625,0.0015625,0.1921875,0.3645934708412024,6
org.parboiled:parboiled-core,http://parboiled.org,https://github.com/sirthias/parboiled,maven,0.05580919931856899,0.0034071550255536627,0.9982964224872232,0.0017035775127768314,0.0034071550255536627,0.008517887563884156,0.19634987155258551,25
org.json4s:json4s-core_2.10,https://github.com/json4s/json4s,https://github.com/json4s/json4s,maven,0.024240465416936006,0.0014705882352941176,0.9985294117647059,0.0014705882352941176,0.0014705882352941176,0.0029411764705882353,0.11574175552283864,91
org.apache.pulsar:pulsar-client,https://github.com/apache/pulsar,https://github.com/apache/pulsar,maven,0.09962047661076788,0.05030891438658429,0.9876434245366285,0.02118270079435128,0.05030891438658429,0.1147396293027361,0.13993735593959258,100
net.sourceforge.htmlunit:htmlunit-core-js,http://htmlunit.sourceforge.net,https://github.com/htmlunit,maven,0,0,0,0,0,0,0,0
com.azure:azure-storage-blob,https://github.com/Azure/azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,maven,0.07716542287307948,0.04010606562810739,0.9893934371892609,0.019887305270135897,0.04010606562810739,0.08584686774941995,0.1308798050972643,99
org.jboss.spec.javax.faces:jboss-jsf-api_2.1_spec,http://www.jboss.org,https://github.com/jboss/jboss-jsf-api_spec,maven,0.39784946236559143,0.3870967741935484,0.967741935483871,0.16129032258064516,0.3870967741935484,0.5161290322580645,0.31034128364864105,6
io.reactivex:rxjava-reactive-streams,https://github.com/ReactiveX/RxJavaReactiveStreams,https://github.com/ReactiveX/RxJavaReactiveStreams,maven,0.21038961038961038,0.05454545454545454,0.9818181818181818,0.01818181818181818,0.05454545454545454,0.21818181818181817,0.3301256807442602,7
com.amazonaws:amazon-kinesis-producer,https://aws.amazon.com/kinesis,https://github.com/awslabs/amazon-kinesis-producer,maven,0.09336609336609336,0.045454545454545456,0.9772727272727273,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.17063125842265417,37
org.jodd:jodd-core,http://jodd.org,https://github.com/oblac/jodd,maven,0.01990188556415801,0.0002092487968194183,0.9997907512031806,0.0002092487968194183,0.0002092487968194183,0.0006277463904582549,0.13474762451261654,54
com.j256.ormlite:ormlite-core,https://ormlite.com/,https://github.com/j256/ormlite-core,maven,0.06458421274799493,0.009708737864077669,0.9902912621359223,0.009708737864077669,0.009708737864077669,0.02912621359223301,0.2004189895712402,23
com.twitter:chill-java,https://github.com/twitter/chill,https://github.com/twitter/chill,maven,0.04928763958413555,0.00816326530612245,0.9959183673469387,0.004081632653061225,0.00816326530612245,0.02040816326530612,0.1537092666801779,53
net.sourceforge.tess4j:tess4j,http://tess4j.sourceforge.net,https://github.com/nguyenq/tess4j,maven,0.10149313962873285,0.004842615012106538,0.9975786924939467,0.002421307506053269,0.004842615012106538,0.021791767554479417,0.2739315730918992,12
org.aeonbits.owner:owner,http://owner.aeonbits.org,https://github.com/lviggiano/owner,maven,0.11292962356792144,0.0425531914893617,0.9787234042553191,0.02127659574468085,0.0425531914893617,0.0851063829787234,0.20061621394650184,26
org.kordamp.ikonli:ikonli-javafx,https://github.com/kordamp/ikonli,https://github.com/kordamp/ikonli,maven,0.0944634703196347,0.003424657534246575,0.9965753424657534,0.003424657534246575,0.003424657534246575,0.030821917808219176,0.2734886505257382,12
org.jdbi:jdbi3-core,https://jdbi.org/,https://github.com/jdbi/jdbi,maven,0.03705202312138728,0.002890173410404624,0.9985549132947977,0.001445086705202312,0.002890173410404624,0.005780346820809248,0.15867374729548428,100
com.twitter:hbc-core,http://github.com/twitter/hbc,https://github.com/twitter/hbc,maven,0.1761546723952739,0.061224489795918366,0.9795918367346939,0.02040816326530612,0.061224489795918366,0.1836734693877551,0.2900704079926307,19
com.spring4all:swagger-spring-boot-starter,https://github.com/SpringForAll/spring-boot-starter-swagger,https://github.com/SpringForAll/spring-boot-starter-swagger,maven,0.22881355932203387,0.11864406779661017,0.9830508474576272,0.05084745762711865,0.11864406779661017,0.11864406779661017,0.34676795270479893,6
com.badlogicgames.gdx:gdx-ai,https://github.com/libgdx/gdx-ai,https://github.com/libgdx/gdx-ai,maven,0.05620855937311634,0.006329113924050633,0.9968354430379747,0.0031645569620253164,0.006329113924050633,0.012658227848101266,0.21126464893195643,21
info.cukes:cucumber-jvm,http://cukes.info/,https://github.com/cucumber/cucumber-parent,maven,0.34913793103448276,0.3103448275862069,0.9913793103448276,0.034482758620689655,0.3103448275862069,0.7413793103448276,0.3594424437825756,8
org.eclipse.sisu:org.eclipse.sisu.plexus,http://www.eclipse.org/sisu/,https://github.com/eclipse/sisu.plexus,maven,0.1298828125,0.005208333333333333,0.9973958333333334,0.0026041666666666665,0.005208333333333333,0.013020833333333334,0.3288951091636359,8
org.hamcrest:hamcrest-junit,https://github.com/hamcrest/hamcrest-junit,https://github.com/hamcrest/hamcrest-junit,maven,0.4305555555555556,0.25,0.9583333333333334,0.041666666666666664,0.25,1,0.41154256638969594,3
org.webjars:popper.js,http://webjars.org,https://github.com/webjars/popper.js,maven,1,1,0,1,1,1,0,1
de.dentrassi.elasticsearch:log4j2-mock,https://dentrassi.de,https://github.com/ctron/de.dentrassi.elasticsearch.log4j2-mock,maven,0.6363636363636364,1,0.7272727272727273,0.2727272727272727,1,1,0.36363636363636365,2
com.github.fge:json-schema-validator,https://github.com/fge/json-schema-validator,https://github.com/fge/json-schema-validator,maven,0.06414662084765177,0.0007636502481863307,0.9996181748759069,0.00038182512409316535,0.0007636502481863307,0.0019091256204658267,0.24165752524557838,16
org.sql2o:sql2o,http://www.sql2o.org,https://github.com/aaberg/sql2o,maven,0.07220857220857221,0.006006006006006006,0.996996996996997,0.003003003003003003,0.006006006006006006,0.03903903903903904,0.20755800695193483,22
org.springframework.social:spring-social-google,https://github.com/GabiAxel/spring-social-google,https://github.com/GabiAxel/spring-social-google,maven,0.078601108033241,0.013157894736842105,0.993421052631579,0.006578947368421052,0.013157894736842105,0.019736842105263157,0.22548438169943066,19
org.easyb:easyb-core,http://www.easyb.org,https://github.com/easyb/easyb-core,maven,0.39166666666666666,0.125,0.95,0.05,0.125,1,0.43124496776452037,3
com.astuetz:pagerslidingtabstrip,https://github.com/astuetz/PagerSlidingTabStrip,https://github.com/astuetz/PagerSlidingTabStrip,maven,0.2571428571428571,0.09523809523809523,0.9523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.3720385711357069,5
io.arrow-kt:arrow-core,https://github.com/arrow-kt/arrow/,https://github.com/arrow-kt/arrow,maven,0.054102228047182184,0.009174311926605505,0.9973787680209698,0.003931847968545216,0.009174311926605505,0.03407601572739188,0.1450631174449713,100
org.sonatype.sisu:sisu-inject-plexus,http://sisu.sonatype.org/,https://github.com/sonatype/sisu,maven,0.21411764705882352,0.0067226890756302525,0.9983193277310924,0.0033613445378151263,0.0067226890756302525,0.058823529411764705,0.3935194255807983,5
org.ansj:ansj_seg,https://github.com/NLPchina/ansj_seg,https://github.com/ansjsun/ansj_seg,maven,0.04493325813122767,0.005076142131979695,0.9974619289340102,0.0025380710659898475,0.005076142131979695,0.012690355329949238,0.18745845466687913,27
jakarta.json.bind:jakarta.json.bind-api,https://eclipse-ee4j.github.io/jsonb-api,https://github.com/eclipse-ee4j/jsonb-api,maven,0.27999999999999997,0.12,0.96,0.04,0.12,0.4,0.30946959232116583,14
io.noties.markwon:core,https://github.com/noties/Markwon,https://github.com/noties/Markwon,maven,0.09940232777603021,0.0034602076124567475,0.9965397923875432,0.0034602076124567475,0.0034602076124567475,0.01730103806228374,0.2849699347170103,11
org.apache.maven.shared:maven-shared-utils,https://maven.apache.org/shared/,https://github.com/apache/maven-shared-utils,maven,0.18144329896907216,0.05154639175257732,0.9896907216494846,0.010309278350515464,0.05154639175257732,0.16494845360824742,0.280538681881381,30
org.tensorflow:tensorflow-lite-support,https://tensorflow.org/lite/,https://github.com/tensorflow/tflite-support,maven,0.060526315789473685,0.0035087719298245615,0.9982456140350877,0.0017543859649122807,0.0035087719298245615,0.03508771929824561,0.167606832501517,56
